id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
4635816-1,4635816,5991582851,245052040,734.8401906340306,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0294487 43.5797145, 7.0295188 43.5795886, 7.0295422 43.5795473, 7.0296569 43.5793374, 7.0296735 43.5792773, 7.0296805 43.5791302, 7.0296705 43.5788916, 7.0296749 43.5787062, 7.0296803 43.5786074, 7.0296956 43.5785446, 7.0297351 43.5784522, 7.0298054 43.5783128, 7.0299388 43.5780874, 7.0299702 43.5780091, 7.0300166 43.5777507, 7.0300358 43.5776692, 7.0300592 43.5776124, 7.0300939 43.5775742, 7.0301471 43.5775249, 7.0302685 43.5774471, 7.0303260 43.5773980, 7.0303972 43.5773169, 7.0305660 43.5771042, 7.0305969 43.5770655, 7.0306727 43.5769706, 7.0307030 43.5769117, 7.0307213 43.5768609, 7.0307591 43.5767218, 7.0308406 43.5764558, 7.0308731 43.5763867, 7.0309214 43.5763060, 7.0310001 43.5762069, 7.0312351 43.5759375, 7.0313966 43.5757458, 7.0314532 43.5756983, 7.0315145 43.5756490, 7.0318352 43.5754233, 7.0319596 43.5753197, 7.0320366 43.5752507, 7.0320595 43.5752145, 7.0320732 43.5751714, 7.0320743 43.5751377, 7.0320586 43.5749713, 7.0320462 43.5748376, 7.0320448 43.5747738, 7.0320529 43.5746940, 7.0321119 43.5745599, 7.0321973 43.5744033, 7.0322564 43.5742358, 7.0322845 43.5739369, 7.0323077 43.5736692)"
4635817-0,4635817,25897447,3476207429,3.526314638753897,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0490647 43.5793095, 7.0490934 43.5792856)"
4635818-0,4635818,25897440,25897442,34.27255666755934,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0501767 43.5787372, 7.0502594 43.5787951, 7.0503473 43.5788538, 7.0504399 43.5789022, 7.0505081 43.5789269)"
4635819-0,4635819,25897440,25897439,36.84405043674904,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0501767 43.5787372, 7.0501688 43.5788252, 7.0501565 43.5789099, 7.0501386 43.5789660, 7.0500902 43.5790597)"
4635820-0,4635820,245033045,825987019,7.034710594755097,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0511928 43.5786322, 7.0512385 43.5786263, 7.0512766 43.5786157)"
4635820-1,4635820,825987019,1399259408,22.333950250360616,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0512766 43.5786157, 7.0513126 43.5785969, 7.0514164 43.5785107, 7.0514772 43.5784793)"
4635820-2,4635820,1399259408,245033149,65.70162161725831,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0514772 43.5784793, 7.0515718 43.5784371, 7.0520505 43.5781602, 7.0521125 43.5781119)"
4635820-3,4635820,245033149,1753942426,80.34994091801066,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0521125 43.5781119, 7.0521726 43.5780543, 7.0526062 43.5774857)"
4635820-4,4635820,1753942426,245033141,60.630105311927785,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0526062 43.5774857, 7.0528909 43.5770439, 7.0529043 43.5770227, 7.0529237 43.5769920)"
4635820-5,4635820,245033141,245033137,5.453419194859332,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0529237 43.5769920, 7.0529477 43.5769462)"
4635821-0,4635821,25897347,8757429894,7.8267809827726555,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0510524 43.5821604, 7.0510943 43.5821405, 7.0511344 43.5821228)"
4635821-1,4635821,8757429894,25897354,23.778031686301386,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0511344 43.5821228, 7.0513884 43.5820143)"
4635821-2,4635821,25897354,25897357,116.12661391183748,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0513884 43.5820143, 7.0521140 43.5816386, 7.0521786 43.5816154, 7.0522622 43.5815957, 7.0523751 43.5815785, 7.0525369 43.5815694, 7.0526418 43.5815946)"
4635822-0,4635822,25897314,25897311,8.445403202379543,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0480905 43.5834829, 7.0480649 43.5835001, 7.0480344 43.5835124, 7.0480007 43.5835190)"
4635822-1,4635822,25897311,25897325,20.755796834119707,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0480007 43.5835190, 7.0479578 43.5835189, 7.0479168 43.5835096, 7.0478814 43.5834921, 7.0478546 43.5834679, 7.0478388 43.5834390, 7.0478353 43.5834080)"
4635823-0,4635823,25897339,25897326,27.886761420293766,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0476067 43.5831954, 7.0479008 43.5833272)"
4635824-0,4635824,25897325,25897339,30.031785176649976,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0478353 43.5834080, 7.0477284 43.5832982, 7.0476067 43.5831954)"
4635826-0,4635826,25897256,25897257,37.37522500439428,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0503898 43.5832314, 7.0503161 43.5833895, 7.0502415 43.5835495)"
4635826-1,4635826,25897257,25897304,58.09133375383191,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0502415 43.5835495, 7.0502768 43.5839102, 7.0502199 43.5839754, 7.0501128 43.5840052)"
4635826-2,4635826,25897304,4458420869,148.97926319013953,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0501128 43.5840052, 7.0493138 43.5839355, 7.0488389 43.5837643, 7.0486378 43.5837295, 7.0484388 43.5836856, 7.0484071 43.5836891, 7.0483846 43.5836998, 7.0483651 43.5837239)"
4635827-0,4635827,615778221,615778182,116.4364502826489,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0512168 43.5841910, 7.0512276 43.5841232, 7.0511844 43.5840581, 7.0510585 43.5840268, 7.0509541 43.5840190, 7.0508498 43.5840685, 7.0507923 43.5841597, 7.0507203 43.5842718, 7.0506268 43.5843578, 7.0504973 43.5844229, 7.0503749 43.5844907, 7.0502604 43.5845009)"
4635827-1,4635827,615778182,25897304,58.181565758374795,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0502604 43.5845009, 7.0502034 43.5844571, 7.0502233 43.5843372, 7.0501891 43.5842110, 7.0501128 43.5840052)"
4635828-0,4635828,25897257,10683398012,353.272388870704,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0502415 43.5835495, 7.0503599 43.5835868, 7.0503986 43.5835737, 7.0504378 43.5835604, 7.0506910 43.5832347, 7.0507734 43.5832152, 7.0508743 43.5832213, 7.0509007 43.5832815, 7.0507122 43.5835576, 7.0505696 43.5839499, 7.0505922 43.5839941, 7.0506668 43.5840144, 7.0507290 43.5839913, 7.0508044 43.5838056, 7.0509207 43.5836755, 7.0516366 43.5833171, 7.0517221 43.5832859, 7.0517975 43.5833134, 7.0518106 43.5833610, 7.0515215 43.5837066, 7.0515140 43.5837188)"
4635828-1,4635828,10683398012,10683398008,96.03255102780435,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0515140 43.5837188, 7.0514575 43.5838103, 7.0514347 43.5839070, 7.0514597 43.5840619, 7.0515800 43.5844176, 7.0516613 43.5845470)"
4635828-2,4635828,10683398008,10685267465,4.187427784157453,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0516613 43.5845470, 7.0516744 43.5845834)"
4635828-3,4635828,10685267465,10683398015,56.925273267101126,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0516744 43.5845834, 7.0517504 43.5846889, 7.0520061 43.5849812, 7.0520603 43.5850058)"
4635829-0,4635829,25897315,8757429898,34.09274077724848,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(7.0486285 43.5835996, 7.0489392 43.5836477, 7.0490437 43.5836557)"
4635829-1,4635829,8757429898,25897256,122.35233930583463,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(7.0490437 43.5836557, 7.0492977 43.5836525, 7.0495727 43.5836115, 7.0499302 43.5835025, 7.0501932 43.5833698, 7.0503898 43.5832314)"
4635829-2,4635829,25897256,25897320,86.71499098904626,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(7.0503898 43.5832314, 7.0506303 43.5829681, 7.0507541 43.5827787, 7.0508543 43.5825356)"
4635830-0,4635830,25897489,2249183363,7.118153731242298,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(7.0573104 43.5825180, 7.0573751 43.5825615)"
4635832-0,4635832,25897858,245033293,40.48775250788155,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0560364 43.5756595, 7.0559759 43.5757051, 7.0559303 43.5757498, 7.0557597 43.5759612)"
4635832-1,4635832,245033293,25897853,44.20793701403235,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0557597 43.5759612, 7.0554936 43.5763084)"
4635832-2,4635832,25897853,25897852,92.87519318475103,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0554936 43.5763084, 7.0549298 43.5770359)"
4635832-3,4635832,25897852,25897851,105.3969441315643,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0549298 43.5770359, 7.0542672 43.5778520)"
4635832-4,4635832,25897851,25897864,125.15986272793526,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0542672 43.5778520, 7.0535359 43.5788437)"
4635833-0,4635833,245033149,25897878,77.52896838619496,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0521125 43.5781119, 7.0525624 43.5782766, 7.0525785 43.5783019, 7.0529594 43.5784281)"
4635833-1,4635833,25897878,25897862,34.72631444487547,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0529594 43.5784281, 7.0533598 43.5785429)"
4635834-0,4635834,6109070058,25897878,0.859879443309868,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0529552 43.5784352, 7.0529594 43.5784281)"
4635834-1,4635834,25897878,6124644205,20.663852213480542,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0529594 43.5784281, 7.0530530 43.5782553)"
4635834-2,4635834,6124644205,25897879,11.729940293138272,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0530530 43.5782553, 7.0531061 43.5781572)"
